,grid3,positionorder3,points3,fastestlap3,fastestlapspeed3,qposition3,meanlaptime3,fastlaptime3,grid1,positionorder1,points1,fastestlap1,fastestlapspeed1,qposition1,meanlaptime1,fastlaptime1,grid2,positionorder2,points2,fastestlap2,fastestlapspeed2,qposition2,meanlaptime2,fastlaptime2,championship_points
267,3,3,15,15,190.487,3,106874.92857142855,103018,4,3,15,52,208.74,4,95665.34482758619,91457,2,1,25,46,193.501,2,108317.73214285713,103648,278
268,6,4,12,48,190.472,6,106890.05357142855,103026,5,12,0,36,208.811,5,97947.9,91426,11,4,12,40,191.644,11,109278.83928571428,104124,150
269,4,5,10,37,191.013,4,106974.14285714287,102734,3,4,12,50,208.144,3,95728.6724137931,91719,7,6,8,40,191.891,7,109631.76785714287,103990,121
277,5,6,8,37,190.426,5,106998.08928571428,103051,0,18,0,,,6,,,8,5,10,42,191.71,9,109575.03571428572,104088,136
278,8,7,6,34,190.272,8,107161,103134,8,14,0,,,9,,,10,11,0,36,190.386,8,110809.7818181818,104812,51
279,9,8,4,46,189.248,9,107225.58928571428,103692,10,5,10,46,206.137,11,96710.62068965516,92612,16,12,0,45,192.054,16,110855.36363636363,103902,121
287,7,9,2,46,190.068,7,107395.08928571428,103245,6,6,8,46,205.726,7,96926.59649122806,92797,4,10,1,42,189.482,4,110488.3090909091,105312,92
288,10,10,1,32,188.319,10,108801.65454545453,104204,15,8,4,51,208.505,16,97825.49122807015,91560,9,19,0,3,183.475,10,111873.66666666669,108760,9
289,15,11,0,44,189.578,15,108855.12727272726,103512,14,10,1,46,207.601,15,98157.77192982456,91959,14,13,0,37,189.423,14,111167.94545454544,105345,78
290,18,12,0,40,189.183,18,108868.70909090908,103728,,,,,,,,,,,,,,,,,
291,14,13,0,41,191.166,14,108932.47272727273,102652,7,9,2,49,205.56,8,97941.94736842104,92872,15,8,4,37,189.132,15,110325.49090909088,105507,18
292,17,14,0,21,186.907,17,108905.67272727273,104991,16,11,0,56,204.534,17,98897.98214285713,93338,17,17,0,38,188.153,17,113990.51219512195,106056,16
293,19,15,0,40,186.157,19,110971.03703703704,105414,,,,,,,,,,,,,,,,,
